Portfolio 2,10/1/2011,10/31/2011,11/30/2011,12/30/2011,1/29/2012,2/28/2012,3/29/2012,4/28/2012,5/23/2012,6/22/2012,7/22/2012,8/21/2012,9/20/2012,10/20/2012,11/19/2012,12/19/2012,1/18/2013,2/15/2013,3/17/2013,4/16/2013,5/16/2013,6/15/2013,7/15/2013,8/14/2013,9/13/2013,10/13/2013,11/12/2013,12/12/2013,1/11/2014,2/10/2014,3/12/2014,4/11/2014,5/11/2014,6/10/2014,7/10/2014,8/9/2014,9/8/2014,10/8/2014,11/7/2014,12/7/2014,1/6/2015,2/5/2015,3/7/2015,4/6/2015,5/6/2015,6/5/2015,7/5/2015,8/4/2015,9/3/2015,10/3/2015,11/2/2015,12/2/2015,12/30/2015,1/29/2016,2/28/2016,3/29/2016,4/28/2016,5/25/2016,6/24/2016,7/24/2016,8/23/2016,9/22/2016,10/22/2016,11/21/2016,12/21/2016,1/20/2017,2/17/2017,3/19/2017,4/18/2017,5/18/2017,6/17/2017,7/17/2017,8/16/2017,9/15/2017,10/15/2017,11/14/2017,12/14/2017,1/13/2018,2/12/2018,3/14/2018,4/13/2018,5/13/2018,6/12/2018,7/12/2018,8/11/2018,9/10/2018,10/10/2018,11/9/2018,12/9/2018,1/8/2019,2/7/2019,3/9/2019,4/8/2019,5/8/2019,6/7/2019,7/7/2019,8/6/2019,9/5/2019,10/5/2019,11/4/2019,12/4/2019,1/3/2020,2/2/2020,3/3/2020,4/2/2020,5/2/2020,6/1/2020,7/1/2020,7/31/2020,8/30/2020,9/29/2020,10/29/2020,11/28/2020,12/28/2020,1/27/2021,2/26/2021,3/28/2021,4/27/2021,5/27/2021,6/26/2021,7/26/2021,8/25/2021,9/24/2021
JLL,-0.2775303333,0.3737244898,-0.003095017023,-0.0490530891,0.2205354228,0.07783870536,0.0291599454,-0.03617072583,-0.09172684657,-0.02608453062,-0.03351475222,0.04831061055,0.1307605315,-0.03475434429,-0.008030047921,0.1036688863,0.04105051461,0.1385611844,0.0006095083299,-0.04395939086,0.01943294043,-0.07260416667,0.06166460744,-0.0873889124,0.0008115001159,-0.02142939882,0.111032197,0.05284466226,0.05484719692,0.1297966232,0.04423877048,-0.05065864368,0.007880085653,0.05523922835,0.03970363212,0.008675445391,0.01950545231,-0.05340463995,0.1098114108,0.03248010325,0.015625,0.08717948718,-0.003333333333,0.07244273364,-0.04666078258,0.05431428219,0.0197869102,0.0239380023,-0.1720020183,-0.003453178956,0.1317434434,-0.005523203458,-0.04400433422,-0.1139097034,-0.2746588971,0.1545018125,0.02732518669,0.005494505495,-0.1179986339,0.05759922556,0.06681922197,0.00265980266,-0.1074790347,-0.03394055609,0.01151250496,-0.02129120879,0.1458415451,-0.06389748882,-0.02076251723,0.03705788536,0.0872987154,0.04168400033,-0.02452076677,-0.01170883485,0.08790389395,0.1431726449,-0.0308440477,0.0431674457,0.001383763838,0.1308152925,-0.0002327611289,-0.01420173447,0.00932868867,-0.01977186312,-0.1183982813,-0.02057808164,-0.07768332297,0.04923192207,-0.07084702185,0.01498847041,0.09738735328,0.1169691533,-0.04386506858,-0.09169035927,-0.06267340115,0.05115361263,0.01906137184,-0.03046620377,-0.02046185326,0.1259325574,0.1150278293,0.03304017114,-0.002185918086,-0.1249279373,-0.3931089005,0.09693877551,0.01415141019,0.001756440281,-0.036528346,0.04175513093,-0.06715838509,0.1766541823,0.1696728559,0.1551137652,-0.003599240887,0.142650729,0.02166915737,0.01817158931,0.1131616753,0.003772461034,0.03446741173,0.1537358382,0.03372695256
DOW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.08171478565,-0.0224847561,-0.05419103314,-0.08429513603,-0.02408282692,0.04174354244,0.199247288,-0.03489016061,0.002677888294,-0.1083555895,-0.1322207959,-0.3089250493,0.1794505887,0.167876588,0.05542605543,0.007607361963,0.09887968826,0.03213652482,-0.006871376423,0.1461621622,0.02414638747,0.001841959845,0.09045780474,0.07738998483,-0.01956181534,0.09592976856,-0.08389163997,-0.01414944356,0.02999516207,-0.1105370283
MDT,-0.08754305396,0.09279647688,0.04864709269,0.04995882514,0.01568627451,-0.006435006435,0.01580310881,-0.02575873502,-0.005649717514,0.03246753247,-0.01179245283,0.09095730575,0.04934370442,-0.01575167941,-0.01600376559,0.01506816551,0.07610744581,0.07237141557,-0.04265704584,0.03413877189,0.0640943194,0.07796132151,0.003363857223,0.02812441795,-0.02934782609,0.03004852557,0.04892190614,-0.03869407497,0.06469002695,-0.05805907173,0.07203010213,-0.01052983453,0.03023648649,0.01426463355,0.02602651148,-0.02205766504,0.04349927501,0.0148216767,0.03605659516,0.09823788546,-0.04773365423,0.05756809885,0.0209771641,0.005981794538,-0.03929679421,0.01533907427,-0.02557646435,0.05766353869,-0.1001671596,0.01271791941,0.06885847326,0.004752475248,0.02906822405,-0.02076615504,0.01936248683,-0.02468019124,0.05696873344,0.02128731578,0.02688702516,0.04395868364,0.01012425219,0.0002277904328,-0.05146891369,-0.03265306122,-0.1116902457,0.04763900531,0.04242103872,0.03220081136,-0.01338737411,0.0257687041,0.07997572816,-0.03292504776,-0.0169649082,-0.0293144208,-0.05345835363,0.01839701531,0.03372915614,0.04264939509,-0.05954055321,0.02567298106,-0.03317132442,0.08307150936,0.005917846368,0.01361171992,0.03266188688,0.06204540445,-0.01348967521,-0.00746818134,0.0118694362,-0.1303937997,0.07069733831,0.03487064117,-0.0327173913,0.0001123721766,0.09112359551,0.0093708166,0.03285043869,0.06400632161,-0.004270330486,-0.001025545404,0.04470368642,0.01733071288,0.03609062171,-0.1490804305,-0.1419322709,0.1057457922,0.01942053328,-0.04932550716,0.04506065858,0.1139096186,-0.04447752861,-0.01285422144,0.1216336194,0.0125769569,-0.03152957526,0.04905829596,0.01872274942,0.09071836187,-0.03708548126,-0.01126648022,0.03499272668,0.05059732959,-0.03366778149
NDAQ,-0.03628509719,0.1228148812,0.04790419162,-0.06628571429,0.03223174215,0.05256916996,-0.03041682313,-0.04841208366,-0.1282973621,-0.001834021091,0.0174552136,0.07088036117,-0.0008431703204,0.01814345992,-0.03439701616,0.08240343348,0.07573354481,0.15716946,0.03990988091,-0.1135871247,0.07402234637,0.07412223667,0.03329297821,-0.06385471588,-0.02221526909,0.07296,0.06919176857,0.0820083682,0.009280742459,-0.04189016603,0.05038656358,-0.1175126904,0.05924647685,0.008417051317,0.03931071621,0.08730569948,0.03121277103,-0.0261090573,0.04104389087,0.05423883318,0.02853437095,0.01513240858,0.04968944099,-0.002366863905,-0.03183076315,0.03185623851,-0.03502869582,0.05373256768,-0.004476449981,0.04887585533,0.1122087605,-0.01944025473,0.00682360969,0.05049135886,0.02080645161,0.03602464844,-0.04132987647,0.02072619604,-0.03816793893,0.08634920635,0.03097603741,-0.001700680272,-0.05877342419,-0.004977375566,0.02304077611,-0.001926211291,0.06334572491,-0.01034820305,-0.02359756959,-0.03415340087,0.06592747977,0.0049198763,0.07875227305,-0.0307313278,-0.00856187291,0.02509782755,0.01974463604,0.03807925649,-0.03556329271,0.08780299123,0.01848998459,0.0520190853,0.05442477876,-0.02045740663,-0.01467280711,0.0152173913,-0.1223768737,0.1028425034,-0.03650442478,-0.08633754305,0.09097763257,-0.03225063349,0.05641513925,0.0251239297,0.05681943071,0.04866888519,-0.04948433161,0.06437141367,-0.02950401882,-0.004241995758,0.06714676945,0.02917973577,0.08782785371,-0.06554036845,-0.1463614064,0.1295232014,0.1201356827,0.01581426649,0.08736336535,0.02368441094,-0.09700937361,0.005190311419,0.04901237603,0.006719274943,0.09584788514,-0.02060906516,0.09075131969,0.06603023071,0.03221393035,0.06705627184,0.05346959517,0.02706613785,0.02687470647
ETR,-0.005851555282,0.07140644362,0.01720399017,0.03823194997,-0.03586584531,-0.04997870226,0.0002989089822,-0.02046914687,-0.02164964171,0.0394265233,0.06446776612,-0.0276056338,-0.003331402086,0.03371602965,-0.1206242092,0.0273381295,-0.006069094304,-0.025685746,0.04898291294,0.07865342848,0.002013519344,-0.01507104923,0.04342757214,-0.075,-0.04741053903,0.0280551593,-0.02852297256,-0.02840818918,-0.009800718719,0.0491586935,-0.009433962264,0.1166666667,0.05728500355,0.05243344985,0.005365355135,-0.07814485388,0.05237767057,0.04282907662,0.03843255463,0.01644895985,0.03391242266,-0.004258257567,-0.1366158114,0.06305220884,-0.04571212694,-0.04829770388,0.00485302274,-0.05367738374,-0.0815106445,0.06318463248,0.02359265343,-0.04726477024,0.03932162689,0.01920577617,0.02309436101,0.102478881,-0.06506720261,0.002019114282,0.04768941429,0.0444928837,-0.03130370734,0.03573691547,-0.09372323504,-0.07627919536,0.06547793043,-0.02373113855,0.02309083322,0.02243371856,0.02247340426,-0.01456626349,0.04922792662,-0.04893081761,0.03319666711,0.009600614439,0.05756307848,0.04807577029,-0.05444978266,-0.06036777159,-0.03913995108,0.03845638483,0.01483870968,-0.001271455817,-0.01998726926,0.06755001299,0.01788756388,0.01841004184,-0.02629416598,0.03146473779,0.04195885928,-0.03645541223,0.05087310827,0.0408773679,0.004044274159,-0.001165995336,0.06760055184,0.03747514911,0.02088722813,0.07461285781,0.02873362445,0.006791748026,-0.004047558816,0.005249343832,0.1133664617,-0.07791814812,-0.2763967512,0.08185941043,0.07608467826,-0.05804440982,0.08695202647,-0.056977076,-0.03389146661,0.05951138025,0.07262514781,-0.1211759302,-0.02143006481,-0.07264181177,0.142264716,0.07442517144,-0.01633189412,-0.02356870229,0.01416984267,0.09645403739,-0.1137182529
VOYA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.09633027523,0.1220996577,0.04,-0.0205345502,0.00465890183,0.1430937396,-0.01043175891,0.03748169839,-0.02653118826,0.04204117135,-0.03171953255,0.0224137931,0.0233277122,-0.003570447679,0.01488423374,0.07224334601,-0.02228976697,0.04948186528,0.04097753641,-0.05335546597,0.008517034068,0.110034774,-0.01924367868,-0.01756787588,0.08174640037,0.002361528553,-0.00299850075,-0.09731471536,-0.0587815326,0.03590391909,-0.01147180864,-0.08427518428,-0.1795009391,-0.03989535644,0.02145776567,0.08002667556,0.01378254211,-0.201510574,-0.03102534998,0.1112846544,0.02037947997,0.0564738292,0.2242503259,0.06895633653,-0.01095890411,0.06129685917,-0.06324582339,-0.08535031847,-0.02980501393,0.07608383577,-0.001067235859,0.02644230769,-0.01327088212,0.04667721519,0.04031242126,0.1019617341,0.1643956044,-0.09267648169,0.1233617641,-0.05222222222,0.02813599062,0.008361839605,-0.1042216359,0.03050704818,-0.01572070233,0.02572080481,-0.07724974722,-0.07604646066,-0.01067362429,0.1555981779,0.01950207469,0.06919006919,0.02226874762,0.002048035748,0.05146785582,-0.0644990281,-0.03758972422,0.01982335623,0.07005388761,0.03129496403,0.04708754796,0.005996002665,-0.105794702,-0.3058692835,0.1776473726,0.04530011325,-0.008667388949,0.07978142077,0.0508097166,-0.08302831824,0.008403361345,0.200625,0.007634912372,-0.05131737558,0.0942094754,0.03915063039,0.08381226054,-0.03991751362,-0.06182878183,0.02959934587,0.04240787802,-0.07085174463
WY,-0.1384180791,0.1790163934,-0.06618464961,0.1119714116,0.08730583824,0.03448275862,0.04238095238,-0.06989492919,-0.02747252747,0.06266050334,0.1140647656,0.05162689805,0.08333333333,0.07501904037,-0.07970244421,0.07197844496,0.09982046679,0.007229707525,-0.01468189233,0.01324503311,0.04477124183,-0.1035345637,0.02442428472,-0.05347411444,0.02159050018,0.03205353998,-0.005119453925,0.01646655232,0.03206209922,-0.01863963375,-0.01366211263,-0.06351351351,0.09415584416,0.03000329707,0.04257362356,-0.01443045748,0.05919003115,-0.05529411765,0.06787048568,0.0527696793,-0.001107726392,-0.01552536734,-0.05547733033,-0.03070960048,-0.04121808674,0.009303817774,0.008582326764,-0.02080050425,-0.1020276794,0.002508960573,0.09939220593,0.03284552846,-0.05688529686,-0.1558998022,0.01444748145,0.1943802925,0.03190460844,-0.01379742866,-0.1182829889,0.171655247,-0.02923976608,0.01712111604,-0.02992518703,0.01670951157,-0.02591656131,-0.01914341337,0.09901639344,-0.004176610979,0.04134212103,-0.05926352129,0.04097859327,-0.01880141011,-0.04461077844,0.0338451896,0.06153379812,0.03369503141,-0.01519337017,-0.02496493689,-0.01150747986,0.02561117579,0.02695800227,0.005526388505,0.05413575158,-0.04953076121,-0.06966538673,0.005601415094,-0.1468777485,-0.07800687285,-0.04248975028,-0.08057609965,0.09695173582,-0.002701659591,0.048374613,-0.05389442599,-0.07179087007,0.1109709962,-0.07832009081,0.09154351396,0.01579541181,0.1181044058,-0.01986754967,-0.005405405405,-0.04144021739,-0.05279943303,-0.4074074074,0.1224747475,0.1839145107,0.05463182898,0.2527027027,0.08989572096,-0.07456285054,0.0128342246,0.02217529039,0.1608126722,-0.04479382972,0.05186335404,0.03956303513,0.1184322636,-0.02691721686,-0.1127348643,0.01941176471,0.01731102135,0.05473624504
APTV,#N/A,#N/A,#N/A,0.0332187858,0.2572062084,0.1772486772,-0.003370786517,-0.03382187148,-0.1050037908,-0.04150783566,-0.004860804242,0.08969804618,0.09290953545,0.01006711409,0.03174603175,0.06833631485,0.08908238446,0.04330218069,0.07017020006,0.01785714286,0.07922149123,0.08940817882,0.07414315691,0.00998480573,0.02428540726,0.008392782207,-0.03849354973,0.04890716295,0.04023107077,0.03966679889,0.07325448302,-0.03377177391,0.03826342899,0.03809355067,-0.006827103601,-0.02096580168,0.04985079867,-0.1163685003,0.1029328288,0.04529078744,-0.05169867061,0.1000346141,0.04074889868,0.06107331822,0.008405755806,0.03334275219,-0.02871205906,-0.08248873874,-0.05860693464,0.07333767927,0.07364105679,0.02630462452,-0.01535117511,-0.2495860927,0.0268431697,0.1085049239,0.01453723147,-0.1056680798,-0.08725421348,0.1009809579,-0.006988120196,0.0348346235,-0.08534512071,0.06914498141,0.00747566064,0.02122519413,0.05526799132,0.075,-0.08345599058,0.1450136502,0.01612903226,0.06280193237,0.02363636364,0.06470438975,-0.02204480458,0.0235165103,-0.01130952381,0.1145093317,-0.01210025929,-0.02340332458,-0.04244120941,0.1194012396,0.06529460928,-0.08688830048,-0.003651594888,-0.07815026409,-0.115645463,-0.000132222663,-0.1360751124,0.02571559773,0.1374421728,0.08344266597,0.07156696537,-0.09910724376,-0.07927747115,0.04591280654,0.08375667578,0.05973557692,-0.0472949983,0.1383333333,-0.03398870529,0.01872902458,-0.0784272051,-0.07091789668,-0.434156634,0.4097389778,0.1924692703,-0.01591858038,0.03089366216,0.1076527331,0.06734788667,0.06962576153,0.2072823434,0.07952822241,-0.001404713595,0.1709909347,-0.09850507208,0.08609712763,0.02849158203,0.02525018225,0.03264382676,-0.01458528951,-0.04059204675
LBTYA,-0.1607418856,0.1909146716,-0.01958762887,0.04153522608,0.1155981827,0.08235294118,0.01170568562,-0.006198347107,-0.02756573367,0.01657217619,0.07121407121,0.065278334,0.04736842105,0.07537688442,-0.0844459279,0.1082756106,0.1026315789,-0.02851885925,0.04008838384,0.09135053111,0.01779755284,-0.04972677596,0.107533065,-0.04153686397,0.01327193933,-0.006682705159,0.02099031216,0.07643647865,0.06121449559,-0.08421781264,0.05492567397,-0.1296871268,0.124039517,0.02880859375,-0.02040816327,-0.04384689922,-0.009374208259,0.04450127877,0.07810969638,0.05905064729,-0.03581385374,0.04025800712,0.09493264913,-0.03710212849,0.002636382073,0.05582524272,-0.03256704981,0.0398019802,-0.09579127785,-0.05033698399,0.0126413839,-0.0608848007,-0.04645130865,-0.1491097923,0.0706190061,0.04560260586,-0.009865005192,-0.03509234828,-0.2124692371,0.07638888889,0.04064516129,0.05145691259,-0.05129716981,0.02641392169,-0.05964274902,0.1226658081,0.06429192007,-0.002993197279,-0.06877729258,-0.1222157093,-0.01969949917,0.1198910082,0.04957420925,-0.04607360185,-0.01002430134,-0.09941699908,0.1015332198,0.1308382307,-0.02817286652,-0.07233323952,-0.06553398058,-0.01883116883,-0.002647253475,-0.04512276045,-0.04273801251,0.008711433757,-0.09427851745,-0.001986491855,-0.05891719745,-0.1218274112,0.2263969171,-0.02317360566,0.1154000804,-0.06633020908,0.01312741313,0.02858231707,-0.05298258614,0.05555555556,-0.07375833951,0.01080432173,-0.1254948535,0.000905387053,-0.07462686567,-0.04740957967,-0.1693175988,0.3915997529,-0.01154016866,-0.01751234845,0.06992687386,-0.001708671508,-0.08472400513,-0.1112669472,0.1846396633,0.08570159858,0.03231083845,-0.02416798732,0.03735282176,0.00939334638,0.04265219077,0.03941985868,-0.05867620751,0.06879513493,0.05654338549
BBY,-0.1077047196,0.1858047016,0.03278688525,-0.1373200443,0.08600770218,0.006304176517,-0.03014878622,-0.109002826,-0.1512643678,0.03954496208,-0.02657634184,-0.04122055675,0.01005025126,-0.05472636816,-0.1959064327,-0.1345454545,0.2504201681,0.1499659168,0.3117960877,0.06913691821,0.09467455621,0.0583011583,0.0798978475,0.06993243243,0.2087148721,0.03474399164,0.1050239838,-0.08087731323,-0.08376833209,-0.3152468801,0.01980982567,-0.008935508936,0.02900823207,0.1234285714,0.03390979993,-0.02787799278,0.08434547908,-0.01960174238,0.1164709616,0.04007959068,0.02350368953,-0.03631508678,0.1036298144,-0.04067285965,-0.07563465062,-0.02236693092,-0.03475238923,-0.04110411041,0.1489361702,0.02614379085,-0.0597133758,-0.1278577477,-0.04153555695,-0.08305975049,0.1596849266,-0.02130287126,0.02996845426,-0.01231906375,-0.05986903648,0.07694859038,0.2081921774,-0.01937292888,0.02573433845,0.1568677141,0.02562979189,-0.07390004272,0.01049810141,0.006852343059,0.06520307355,0.04348722176,0.1019158602,0.003764115433,0.08339285714,-0.03395417834,-0.06312915885,0.04170460754,0.1145104895,0.1356862745,-0.02831491713,-0.006396588486,0.01759656652,0.1000984114,-0.05367412141,0.008642808913,0.03186504217,0.00311405216,-0.08446514034,-0.04224357163,-0.1346806314,-0.0214797136,0.02543554007,0.16751614,0.08876600698,-0.01790964983,-0.1328252586,0.1299435028,-0.05972222222,-0.02865583456,0.01611922141,0.1195749776,0.05841465045,0.1010356151,-0.02202339986,-0.1021581046,-0.3107772698,0.4094010614,0.04222700377,0.1270967742,0.1401259302,0.1136660307,-0.007483545217,0.01998546512,-0.03099394371,-0.05716911765,0.1071358939,-0.1164039799,0.143996014,0.03092334495,-0.001774397972,-0.02801760623,0,0.06148219107,-0.1407006317
